Date,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people
2020-03-15,1,1,0,0,,,,0.055999999999999994,0.0,0.0,
2020-03-16,1,0,1,1,,,,0.055999999999999994,0.055999999999999994,0.055999999999999994,
2020-03-17,6,5,1,0,,,,0.335,0.055999999999999994,0.0,
2020-03-18,6,0,1,0,,,,0.335,0.055999999999999994,0.0,
2020-03-19,8,2,1,0,,,,0.447,0.055999999999999994,0.0,
2020-03-20,9,1,1,0,,,,0.502,0.055999999999999994,0.0,
2020-03-21,13,4,1,0,,,,0.726,0.055999999999999994,0.0,
2020-03-22,17,4,1,0,,,,0.9490000000000001,0.055999999999999994,0.0,
2020-03-23,19,2,1,0,,,,1.061,0.055999999999999994,0.0,
2020-03-24,20,1,1,0,,,,1.1159999999999999,0.055999999999999994,0.0,
2020-03-25,21,1,1,0,,,,1.172,0.055999999999999994,0.0,
2020-03-26,24,3,1,0,,,,1.34,0.055999999999999994,0.0,
2020-03-27,25,1,1,0,,,,1.395,0.055999999999999994,0.0,
2020-03-28,32,7,1,0,,,,1.786,0.055999999999999994,0.0,
2020-03-29,34,2,1,0,,,,1.8980000000000001,0.055999999999999994,0.0,
2020-03-30,36,2,1,0,,,,2.009,0.055999999999999994,0.0,
2020-03-31,36,0,1,0,,,,2.009,0.055999999999999994,0.0,
2020-04-01,38,2,1,0,,,,2.121,0.055999999999999994,0.0,
2020-04-02,46,8,1,0,,,,2.568,0.055999999999999994,0.0,
2020-04-03,47,1,1,0,,,,2.623,0.055999999999999994,0.0,
2020-04-04,50,3,1,0,,,,2.7910000000000004,0.055999999999999994,0.0,
2020-04-05,61,11,2,1,,,,3.405,0.11199999999999999,0.055999999999999994,
2020-04-06,70,9,3,1,,,,3.907,0.16699999999999998,0.055999999999999994,
2020-04-07,74,4,3,0,,,,4.13,0.16699999999999998,0.0,
2020-04-08,80,6,3,0,,,,4.465,0.16699999999999998,0.0,
2020-04-09,87,7,3,0,,,,4.856,0.16699999999999998,0.0,
2020-04-10,126,39,3,0,,,,7.0329999999999995,0.16699999999999998,0.0,
2020-04-11,137,11,3,0,,,,7.647,0.16699999999999998,0.0,
2020-04-12,153,16,3,0,,,,8.54,0.16699999999999998,0.0,
2020-04-13,156,3,5,2,,,,8.708,0.27899999999999997,0.11199999999999999,
2020-04-14,167,11,5,0,,,,9.322000000000001,0.27899999999999997,0.0,
2020-04-15,180,13,5,0,,,,10.047,0.27899999999999997,0.0,
2020-04-16,196,16,5,0,,,,10.94,0.27899999999999997,0.0,
2020-04-17,214,18,7,2,,,,11.945,0.391,0.11199999999999999,
2020-04-18,235,21,7,0,,,,13.117,0.391,0.0,
2020-04-19,257,22,7,0,,,,14.345,0.391,0.0,
2020-04-20,289,32,7,0,,,,16.131,0.391,0.0,
2020-04-21,294,5,7,0,,,,16.41,0.391,0.0,
2020-04-22,316,22,8,1,,,,17.637999999999998,0.447,0.055999999999999994,
2020-04-23,342,26,10,2,,,,19.09,0.5579999999999999,0.11199999999999999,
2020-04-24,384,42,11,1,,,,21.434,0.614,0.055999999999999994,
2020-04-25,430,46,11,0,,,,24.000999999999998,0.614,0.0,
2020-04-26,473,43,13,2,,,,26.401999999999997,0.726,0.11199999999999999,
2020-04-27,500,27,15,2,,,,27.909000000000002,0.8370000000000001,0.11199999999999999,
2020-04-28,530,30,15,0,,,,29.583000000000002,0.8370000000000001,0.0,
2020-04-29,557,27,16,1,,,,31.09,0.893,0.055999999999999994,
