Date,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people
2020-03-03,1,1,0,0,,,,0.028999999999999998,0.0,0.0,
2020-03-06,5,4,0,0,,,,0.14400000000000002,0.0,0.0,
2020-03-08,7,2,0,0,,,,0.201,0.0,0.0,
2020-03-09,11,4,0,0,,,,0.316,0.0,0.0,
2020-03-10,15,4,0,0,,,,0.431,0.0,0.0,
2020-03-11,20,5,0,0,,,,0.574,0.0,0.0,
2020-03-12,45,25,0,0,,,,1.2930000000000001,0.0,0.0,
2020-03-13,62,17,0,0,,,,1.781,0.0,0.0,
2020-03-14,86,24,0,0,,,,2.47,0.0,0.0,
2020-03-15,86,0,0,0,,,,2.47,0.0,0.0,
2020-03-16,118,32,0,0,,,,3.389,0.0,0.0,
2020-03-17,133,15,0,0,,,,3.82,0.0,0.0,
2020-03-18,133,0,0,0,,,,3.82,0.0,0.0,
2020-03-19,171,38,0,0,,,,4.912,0.0,0.0,
2020-03-20,238,67,0,0,,,,6.836,0.0,0.0,
2020-03-21,274,36,0,0,,,,7.87,0.0,0.0,
2020-03-22,392,118,0,0,,,,11.26,0.0,0.0,
2020-03-23,511,119,0,0,,,,14.677999999999999,0.0,0.0,
2020-03-24,562,51,0,0,,,,16.143,0.0,0.0,
2020-03-25,767,205,1,1,,,,22.031,0.028999999999999998,0.028999999999999998,
2020-03-26,900,133,2,1,,,,25.851999999999997,0.057,0.028999999999999998,
2020-03-27,1012,112,3,1,,,,29.069000000000003,0.086,0.028999999999999998,
2020-03-28,1104,92,3,0,,,,31.712,0.086,0.0,
2020-03-29,1203,99,4,1,,,,34.555,0.115,0.028999999999999998,
2020-03-30,1229,26,8,4,,,,35.302,0.23,0.115,
2020-03-31,1453,224,8,0,,,,41.736000000000004,0.23,0.0,
2020-04-01,1563,110,10,2,,,,44.896,0.287,0.057,
2020-04-02,1720,157,16,6,,,,49.406000000000006,0.46,0.172,
2020-04-03,1885,165,21,5,,,,54.145,0.603,0.14400000000000002,
2020-04-04,1885,0,21,0,,,,54.145,0.603,0.0,
2020-04-05,2179,294,29,8,,,,62.59,0.833,0.23,
2020-04-06,2385,206,34,5,,,,68.507,0.977,0.14400000000000002,
2020-04-07,2523,138,38,4,,,,72.471,1.092,0.115,
2020-04-08,2795,272,41,3,,,,80.28399999999999,1.178,0.086,
2020-04-09,2932,137,41,0,,,,84.219,1.178,0.0,
2020-04-10,3287,355,44,3,,,,94.416,1.264,0.086,
2020-04-11,3651,364,47,3,,,,104.87200000000001,1.35,0.086,
2020-04-12,4033,382,52,5,,,,115.845,1.494,0.14400000000000002,
2020-04-13,4462,429,59,7,,,,128.167,1.695,0.201,
2020-04-14,4934,472,65,6,,,,141.725,1.867,0.172,
2020-04-15,5369,435,73,8,,,,154.22,2.097,0.23,
2020-04-16,5862,493,79,6,,,,168.38099999999997,2.269,0.172,
2020-04-17,6380,518,83,4,,,,183.26,2.384,0.115,
2020-04-18,7142,762,87,4,,,,205.148,2.499,0.115,
2020-04-19,8274,1132,92,5,,,,237.66400000000002,2.6430000000000002,0.14400000000000002,
2020-04-20,9362,1088,97,5,,,,268.916,2.786,0.14400000000000002,
2020-04-21,10484,1122,103,6,,,,301.144,2.9589999999999996,0.172,
2020-04-22,11631,1147,109,6,,,,334.091,3.1310000000000002,0.172,
2020-04-23,12772,1141,114,5,,,,366.865,3.275,0.14400000000000002,
2020-04-24,13930,1158,121,7,,,,400.12800000000004,3.4760000000000004,0.201,
2020-04-25,15102,1172,127,6,,,,433.793,3.648,0.172,
2020-04-26,16299,1197,136,9,,,,468.176,3.906,0.259,
2020-04-27,17522,1223,139,3,,,,503.305,3.9930000000000003,0.086,
2020-04-28,18811,1289,144,5,,,,540.331,4.136,0.14400000000000002,
2020-04-29,20077,1266,152,8,,,,576.695,4.3660000000000005,0.23,
