Date,Countries,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people,Continent
2020-02-24,Slovenia,0,0,0,0,,,,,,,38.0,
2020-02-25,Slovenia,0,0,0,0,,,,,,,59.0,
2020-02-26,Slovenia,0,0,0,0,,,,,,,100.0,
2020-02-27,Slovenia,0,0,0,0,,,,,,,143.0,
2020-02-28,Slovenia,0,0,0,0,,,,,,,178.0,
2020-02-29,Slovenia,0,0,0,0,,,,,,,194.0,
2020-03-01,Slovenia,0,0,0,0,,,,,,,211.0,
2020-03-02,Slovenia,0,0,0,0,,,,,,,265.0,
2020-03-03,Slovenia,0,0,0,0,,,,,,,313.0,
2020-03-04,Slovenia,0,0,0,0,,,,,,,364.0,
2020-03-05,Slovenia,1,1,0,0,,,,0.48100000000000004,0.0,0.0,467.0,
2020-03-06,Slovenia,6,5,0,0,,,,2.886,0.0,0.0,745.0,
2020-03-07,Slovenia,9,3,0,0,,,,4.329,0.0,0.0,922.0,
2020-03-08,Slovenia,12,3,0,0,,,,5.772,0.0,0.0,1160.0,
2020-03-09,Slovenia,16,4,0,0,,,,7.696000000000001,0.0,0.0,1527.0,
2020-03-10,Slovenia,0,0,0,0,,,,,,,2069.0,
2020-03-11,Slovenia,31,15,0,0,,,,14.912,0.0,0.0,2818.0,
2020-03-12,Slovenia,57,26,0,0,,,,27.418000000000003,0.0,0.0,3863.0,
2020-03-13,Slovenia,96,39,0,0,,,,46.178000000000004,0.0,0.0,5060.0,
2020-03-14,Slovenia,141,45,0,0,,,,67.82300000000001,0.0,0.0,5976.0,
2020-03-15,Slovenia,181,40,0,0,,,,87.064,0.0,0.0,6566.0,
2020-03-16,Slovenia,219,38,0,0,,,,105.34299999999999,0.0,0.0,7437.0,
2020-03-17,Slovenia,253,34,0,0,,,,121.697,0.0,0.0,8558.0,
2020-03-18,Slovenia,275,22,1,1,,,,132.279,0.48100000000000004,0.48100000000000004,9584.0,
2020-03-19,Slovenia,286,11,1,0,,,,137.571,0.48100000000000004,0.0,10768.0,
2020-03-20,Slovenia,319,33,1,0,,,,153.444,0.48100000000000004,0.0,12010.0,
2020-03-21,Slovenia,341,22,1,0,,,,164.02700000000002,0.48100000000000004,0.0,12882.0,
2020-03-22,Slovenia,383,42,1,0,,,,184.229,0.48100000000000004,0.0,13613.0,
2020-03-23,Slovenia,414,31,1,0,,,,199.141,0.48100000000000004,0.0,14870.0,
2020-03-24,Slovenia,442,28,1,0,,,,212.609,0.48100000000000004,0.0,16113.0,
2020-03-25,Slovenia,480,38,3,2,,,,230.888,1.443,0.9620000000000001,17294.0,
2020-03-26,Slovenia,528,48,4,1,,,,253.977,1.9240000000000002,0.48100000000000004,18369.0,
2020-03-27,Slovenia,577,49,5,1,,,,277.546,2.405,0.48100000000000004,19756.0,
2020-03-28,Slovenia,632,55,9,4,,,,304.002,4.329,1.9240000000000002,20753.0,
2020-03-29,Slovenia,691,59,9,0,,,,332.38199999999995,4.329,0.0,21349.0,
2020-03-30,Slovenia,730,39,11,2,,,,351.142,5.291,0.9620000000000001,22474.0,
2020-03-31,Slovenia,763,33,11,0,,,,367.015,5.291,0.0,23762.0,
2020-04-01,Slovenia,814,51,13,2,,,,391.54699999999997,6.252999999999999,0.9620000000000001,24857.0,
2020-04-02,Slovenia,841,27,15,2,,,,404.535,7.215,0.9620000000000001,25921.0,
2020-04-03,Slovenia,897,56,16,1,,,,431.472,7.696000000000001,0.48100000000000004,27109.0,
2020-04-04,Slovenia,934,37,20,4,,,,449.269,9.62,1.9240000000000002,27764.0,
2020-04-05,Slovenia,977,43,22,2,,,,469.95300000000003,10.582,0.9620000000000001,28253.0,
2020-04-06,Slovenia,997,20,28,6,,,,479.57300000000004,13.468,2.886,29455.0,
2020-04-07,Slovenia,1021,24,30,2,,,,491.11800000000005,14.43,0.9620000000000001,30669.0,
2020-04-08,Slovenia,1055,34,36,6,,,,507.472,17.317,2.886,31813.0,
2020-04-09,Slovenia,1091,36,40,4,,,,524.789,19.241,1.9240000000000002,33047.0,
2020-04-10,Slovenia,1124,33,43,3,,,,540.6619999999999,20.684,1.443,34279.0,
2020-04-11,Slovenia,1160,36,45,2,,,,557.979,21.646,0.9620000000000001,34851.0,
2020-04-12,Slovenia,1188,28,50,5,,,,571.447,24.051,2.405,35405.0,
2020-04-13,Slovenia,1205,17,53,3,,,,579.625,25.494,1.443,35946.0,
2020-04-14,Slovenia,1212,7,55,2,,,,582.992,26.456,0.9620000000000001,37114.0,
2020-04-15,Slovenia,1220,8,56,1,,,,586.84,26.936999999999998,0.48100000000000004,38137.0,
2020-04-16,Slovenia,1248,28,61,5,,,,600.308,29.342,2.405,39330.0,
2020-04-17,Slovenia,1268,20,61,0,,,,609.929,29.342,0.0,40580.0,
2020-04-18,Slovenia,1304,36,66,5,,,,627.245,31.747,2.405,41265.0,
2020-04-19,Slovenia,1317,13,70,4,,,,633.498,33.671,1.9240000000000002,41802.0,
2020-04-20,Slovenia,1330,13,74,4,,,,639.752,35.595,1.9240000000000002,42976.0,
2020-04-21,Slovenia,1335,5,74,0,,,,642.1569999999999,35.595,0.0,,
