Date,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people
2020-03-04,0,0,0,0,,,,,,,107.0
2020-03-06,0,0,0,0,,,,,,,155.0
2020-03-07,1,1,0,0,,,,0.03,0.0,0.0,219.0
2020-03-08,0,0,0,0,,,,,,,250.0
2020-03-09,7,6,0,0,,,,0.212,0.0,0.0,318.0
2020-03-10,9,2,0,0,,,,0.273,0.0,0.0,346.0
2020-03-11,11,2,0,0,,,,0.33399999999999996,0.0,0.0,656.0
2020-03-12,17,6,0,0,,,,0.516,0.0,0.0,
2020-03-13,22,5,0,0,,,,0.667,0.0,0.0,
2020-03-14,38,16,0,0,,,,1.1520000000000001,0.0,0.0,1232.0
2020-03-15,43,5,0,0,,,,1.304,0.0,0.0,1822.0
2020-03-16,71,28,0,0,,,,2.153,0.0,0.0,2315.0
2020-03-17,86,15,0,0,,,,2.608,0.0,0.0,2797.0
2020-03-18,117,31,0,0,,,,3.548,0.0,0.0,3075.0
2020-03-19,145,28,0,0,,,,4.398,0.0,0.0,3841.0
2020-03-20,234,89,2,2,,,,7.097,0.061,0.061,4298.0
2020-03-21,263,29,3,1,,,,7.977,0.091,0.03,5185.0
2020-03-22,318,55,5,2,,,,9.645,0.152,0.061,6184.0
2020-03-23,363,45,5,0,,,,11.009,0.152,0.0,7013.0
2020-03-24,395,32,5,0,,,,11.98,0.152,0.0,7486.0
2020-03-25,416,21,7,2,,,,12.617,0.212,0.061,8040.0
2020-03-26,558,142,8,1,,,,16.924,0.243,0.03,9219.0
2020-03-27,580,22,9,1,,,,17.590999999999998,0.273,0.03,10065.0
2020-03-28,635,55,11,2,,,,19.259,0.33399999999999996,0.061,10896.0
2020-03-29,671,36,16,5,,,,20.351,0.485,0.152,12669.0
2020-03-30,852,181,18,2,,,,25.84,0.546,0.061,13452.0
2020-03-31,950,98,24,6,,,,28.811999999999998,0.728,0.182,14463.0
2020-04-01,1065,115,30,6,,,,32.3,0.91,0.182,15587.0
2020-04-02,1323,258,47,17,,,,40.125,1.425,0.516,16518.0
2020-04-03,1414,91,55,8,,,,42.885,1.6680000000000001,0.243,17334.0
2020-04-04,1595,181,61,6,,,,48.375,1.85,0.182,17841.0
2020-04-05,1746,151,73,12,,,,52.95399999999999,2.214,0.364,19410.0
2020-04-06,2281,535,83,10,,,,69.18,2.517,0.303,20414.0
2020-04-07,2561,280,92,9,,,,77.672,2.79,0.273,21555.0
2020-04-08,2954,393,107,15,,,,89.59200000000001,3.245,0.455,39599.0
2020-04-09,4342,1388,121,14,,,,131.688,3.67,0.425,48465.0
2020-04-10,5256,914,138,17,,,,159.409,4.185,0.516,56681.0
2020-04-11,5897,641,169,31,,,,178.85,5.126,0.94,65712.0
2020-04-12,6848,951,181,12,,,,207.692,5.49,0.364,76506.0
2020-04-13,7519,671,193,12,,,,228.043,5.853,0.364,87116.0
2020-04-14,7519,0,193,0,,,,228.043,5.853,0.0,102216.0
2020-04-15,10303,2784,230,37,,,,312.47900000000004,6.976,1.122,109385.0
2020-04-16,11475,1172,254,24,,,,348.024,7.704,0.728,121468.0
2020-04-17,12491,1016,274,20,,,,378.838,8.31,0.607,
2020-04-18,13489,998,300,26,,,,409.10699999999997,9.099,0.789,135895.0
2020-04-19,14420,931,348,48,,,,437.343,10.554,1.456,143745.0
2020-04-20,15628,1208,400,52,,,,473.98,12.132,1.577,148011.0
2020-04-21,16325,697,445,45,,,,495.119,13.495999999999999,1.365,155724.0
2020-04-22,17837,1512,484,39,,,,540.977,14.679,1.183,170400.0
2020-04-23,19250,1413,530,46,,,,583.831,16.074,1.395,185238.0
2020-04-24,20914,1664,572,42,,,,634.299,17.348,1.274,198349.0
2020-04-25,21648,734,634,62,,,,656.56,19.229,1.88,218195.0
2020-04-26,25331,3683,700,66,,,,768.262,21.23,2.002,232747.0
2020-04-27,27517,2186,728,28,,,,834.56,22.079,0.8490000000000001,
2020-04-28,28699,1182,782,54,,,,870.409,23.717,1.6380000000000001,239563.0
2020-04-29,31190,2491,854,72,,,,945.959,25.901,2.184,267612.0
